Name,Established,Location,Latitude,Longitude,Altitude
Hopkins Observatory,1838,"Williamstown, Massachusetts, USA",42.71202,-73.20369,209
Harvard College Observatory,1839,"Cambridge, Massachusetts, USA",42.373616,-71.109733,6
Cincinnati Observatory,1843,"Cincinnati, Ohio, USA",39.103118,-84.51202,168
U.S. Naval Observatory (USNO),1844,"Washington, D.C., USA",38.907192,-77.036871,22
University of Alabama Observatory (Old),1849,"Tuscaloosa, Alabama, USA",33.209841,-87.569173,69
Detroit Observatory,1854,"Ann Arbor, Michigan, USA",42.280826,-83.743038,264
Shattuck Observatory,1854,"Hanover, New Hampshire, USA",43.702245,-72.289553,164
Allegheny Observatory,1859,"Pittsburgh, Pennsylvania, USA",40.440625,-79.995886,233
Barnard Observatory (defunct),1859,"Oxford, Mississippi, USA",34.366495,-89.519248,156
Daniel S. Schanck Observatory (defunct),1865,"Rutgers University, New Brunswick, New Jersey, USA",40.500819,-74.447399,15
Vassar College Observatory (defunct),1865,"Poughkeepsie, New York, USA",41.700371,-73.92097,60
Sherzer Observatory,1878,"Ypsilanti, Michigan, USA",42.24115,-83.612994,221
Laws Observatory,1880,"Columbia, Missouri, USA",38.951705,-92.334072,216
Smith Observatory,1880,"Beloit, Wisconsin, USA",42.508348,-89.031776,227
Lick Observatory,1881,"Mount Hamilton, San Jose, California, USA",37.349116,-121.729966,529
Washburn Observatory,1881,"Madison, Wisconsin, USA",43.073052,-89.40123,266
Warner Observatory (defunct),1882,"Rochester, New York, USA",43.156578,-77.608847,159
Boswell Observatory (defunct),1883,"Crete, Nebraska, USA",40.625217,-96.961514,412
Chabot Space & Science Center,1883,"Oakland, California, USA",37.804364,-122.271114,13
McKim Observatory,1884,"Greencastle, Indiana, USA",39.64449,-86.864732,257
Leander McCormick Observatory,1885,"Mount Jefferson, Charlottesville, Virginia, USA",38.032778,-78.522222,272
Creighton University Observatory (defunct),1886,"Omaha, Nebraska, USA",41.256537,-95.934503,316
Daniel Scholl Observatory (defunct),1886,"Lancaster, Pennsylvania, USA",40.037876,-76.305514,109
Goodsell Observatory,1887,"Northfield, Minnesota, USA",44.458298,-93.161604,276
Dearborn Observatory,1889,"Evanston, Illinois, USA",42.045072,-87.687697,184
Chamberlin Observatory,1890,"Denver, Colorado, USA",39.739236,-104.990251,1597
Smithsonian Astrophysical Observatory,1890,"Cambridge, Massachusetts, USA",42.373616,-71.109733,6
Concordia College Observatory,1891,"Moorhead, Minnesota, USA",46.873765,-96.767804,276
Ladd Observatory,1891,"Providence, Rhode Island, USA",41.823989,-71.412834,3
Lowell Observatory,1894,"Flagstaff, Arizona, USA",35.198284,-111.651302,2104
Theodore Jacobsen Observatory,1895,"Seattle, Washington, USA",47.60621,-122.332071,56
University of Illinois Astronomical Observatory,1896,"Urbana, Illinois, USA",40.110588,-88.20727,223
Clarke Observatory,1897,"Dunkirk, New York, USA",42.479502,-79.333932,188
Cordell–Lorenz Observatory,1897,"Sewanee, Tennessee, USA",35.203137,-85.92109,588
Yerkes Observatory,1897,"Williams Bay, Wisconsin, USA",42.578072,-88.540933,267
Winfree Observatory,1900,"Lynchburg, Virginia, USA",37.413754,-79.142246,196
Kirkwood Observatory,1901,"Bloomington, Indiana, USA",39.165325,-86.526386,234
Maynard F. Jordan Observatory,1901,"Orono, Maine, USA",44.883113,-68.671941,38
Stephens Memorial Observatory,1901,"Hiram, Ohio, USA",41.312555,-81.14371,381
Whitin Observatory,1901,"Wellesley, Massachusetts, USA",42.296797,-71.292388,39
Wilder Observatory,1903,"Amherst, Massachusetts, USA",42.373222,-72.519854,96
Mount Wilson Observatory,1904,"Mount Wilson, Los Angeles County, California, USA",34.226423,-118.064232,1693
Maria Mitchell Observatory,1908,"Nantucket, Massachusetts, USA",41.28347,-70.099451,6
Van Vleck Observatory,1914,"Middletown, Connecticut, USA",41.562321,-72.650649,17
Steward Observatory,1916,"Tucson, Arizona, USA",32.222607,-110.974711,725
Darling's Observatory (defunct),1917,"Duluth, Minnesota, USA",46.786672,-92.100485,201
Fuertes Observatory,1917,"Ithaca, New York, USA",42.443961,-76.501881,120
Warner and Swasey Observatory,1919,"Cleveland, Ohio, USA",41.49932,-81.694361,200
Rutherford Observatory,1920,"New York City, New York, USA",40.712775,-74.005973,10
Clarke Observatory,1923,"Alliance, Ohio, USA",40.915336,-81.105931,353
Angell Hall Observatory,1927,"Ann Arbor, Michigan, USA",42.280826,-83.743038,264
Custer Observatory,1927,"Southold, New York, USA",41.080197,-72.473153,-15
Melton Memorial Observatory,1928,"Columbia, South Carolina, USA",34.00071,-81.034814,91
McMath–Hulbert Solar Observatory,1930,"Lake Angelus, Michigan, USA",42.698643,-83.316605,299
Perkins Observatory,1931,"Delaware, Ohio, USA",40.298672,-83.067965,265
Griffith Observatory,1935,"Los Angeles, California, USA",34.052234,-118.243685,87
Jones Observatory,1936,"Chattanooga, Tennessee, USA",35.04563,-85.30968,206
Goethe Link Observatory,1939,"Brooklyn, Indiana, USA",39.539214,-86.36916,204
Kennon Observatory,1939,"Oxford, Mississippi, USA",34.366495,-89.519248,156
Burrell Memorial Observatory,1940,"Berea, Ohio, USA",41.366161,-81.854303,230
Bowman Observatory,1940,"Greenwich, Connecticut, USA",41.026242,-73.628196,27
Coit Observatory,1940,"Boston, Massachusetts, USA",42.360083,-71.05888,10
Hirsch Observatory,1942,"Troy, New York, USA",42.728412,-73.691785,11
Palomar Observatory,1948,"Palomar Mountain, California, USA",33.321176,-116.879633,1661
Portage Lake Observatory (defunct),1948,"Dexter, Michigan, USA",42.33837,-83.888555,265
Sommers–Bausch Observatory,1949,"Boulder, Colorado, USA",40.014986,-105.270546,1624
Bradley Observatory,1950,"Decatur, Georgia, USA",35.198284,-111.651302,2104
Hat Creek Radio Observatory,1950,"Shasta County, California, USA",40.790886,-121.847449,1443
Peach Mountain Observatory,1950,"Dexter, Michigan, USA",42.33837,-83.888555,265
University of Alabama Observatory,1950,"Tuscaloosa, Alabama, USA",33.209841,-87.569173,69
Foggy Bottom Observatory,1951,"Hamilton, New York, USA",42.808351,-75.504376,462
Dyer Observatory,1953,"Brentwood, Tennessee, USA",36.033116,-86.782777,226
Jewett Observatory,1953,"Pullman, Washington, USA",46.729777,-117.181738,716
Holcomb Observatory and Planetarium,1954,"Indianapolis, Indiana, USA",39.768403,-86.158068,223
U.S. Naval Observatory (Flagstaff Station),1955,"Flagstaff, Arizona, USA",35.198284,-111.651302,2104
Weitkamp Observatory,1955,"Westerville, Ohio, USA",40.126669,-82.931881,264
National Radio Astronomy Observatory,1957,"Charlottesville, Virginia, USA",38.029306,-78.476678,142
Kitt Peak National Observatory,1958,"Tucson, Arizona, USA",32.222607,-110.974711,725
Owens Valley Radio Observatory,1958,"Bishop, California, USA",37.361424,-118.399664,1265
Pine Bluff Observatory,1958,"Cross Plains, Wisconsin, USA",43.114439,-89.655678,263
Anderson Mesa Station,1959,"Flagstaff, Arizona, USA",35.198284,-111.651302,2104
Anderson Mesa Station,1959,"Flagstaff, Arizona, USA",35.198284,-111.651302,2104
Ball State University Observatory,1960,"Muncie, Indiana, USA",40.193377,-85.38636,290
Brooks Observatory,1960,"Toledo, Ohio, USA",41.652805,-83.537867,179
Bucknell Observatory,1960,"Lewisburg, Pennsylvania, USA",40.964529,-76.88441,143
Caltech Submillimeter Observatory,1960,"Mauna Kea, Hawaii, USA",19.820611,-155.468094,4197
Capilla Peak Observatory,1960,"Albuquerque, New Mexico, USA",35.084386,-106.650422,1510
Celestial Observatory,1960,"Russellville, Arkansas, USA",35.278417,-93.133786,104
Chico Community Observatory,1960,"Chico, California, USA",39.728494,-121.837478,62
Crane Observatory,1960,"Topeka, Kansas, USA",39.047345,-95.675158,289
Cupillari Observatory,1960,"La Plume, Pennsylvania, USA",41.556717,-75.755271,269
Fernbank Observatory,1960,"Atlanta, Georgia, USA",33.748995,-84.387982,320
Foothill Observatory,1960,"Los Altos Hills, California, USA",37.379663,-122.137464,88
Fox Observatory,1960,"Sunrise, Florida, USA",26.166971,-80.256595,2
"Green Bank Telescope,",1960,"Green Bank, West Virginia, USA",38.419531,-79.831808,807
Haleakala Observatory,1960,"Maui, Hawaii, USA",20.798363,-156.331925,661
Hard Labor Creek Observatory,1960,"Atlanta, Georgia, USA",33.748995,-84.387982,320
Hidden Valley Observatory,1960,"Rapid City, South Dakota, USA",44.080543,-103.231015,988
Howell Observatory,1960,"Starkville, Mississippi, USA",33.4504,-88.818387,102
Judson B. Coit Observatory,1960,"Boston, Massachusetts, USA",42.360083,-71.05888,10
Levenhagen Observatory,1960,"Seattle, Washington, USA",47.60621,-122.332071,56
Macalester College Observatory,1960,"Saint Paul, Minnesota, USA",44.953703,-93.089958,229
Martz Observatory,1960,"Chautauqua County, New York, USA",42.231283,-79.560344,497
Mauna Loa Solar Observatory,1960,"Hawaii, USA",19.896766,-155.582782,1493
McDonald Observatory,1960,"Davis Mountains, Texas, USA",30.750147,-104.0838,1869
MDM Observatory,1960,"Kitt Peak, Arizona, USA",31.964787,-111.599505,2070
Mees Observatory,1960,"Rochester, New York, USA",43.156578,-77.608847,159
Mehalso Observatory,1960,"Erie, Pennsylvania, USA",42.129224,-80.085059,199
Morrison Observatory,1960,"Fayette, Missouri, USA",39.145865,-92.683794,214
Mounds Observatory,1960,"Tulsa, Oklahoma, USA",36.153982,-95.992775,219
Mount Cuba Astronomical Observatory,1960,"Greenville, Delaware, USA",39.779001,-75.59826,78
Mount Lemmon Observatory,1960,"Tucson, Arizona, USA",32.222607,-110.974711,725
National Solar Observatory,1960,"Sunspot, New Mexico, USA & Kitt Peak, Arizona, USA",31.95989,-111.599748,2060
Naval Research Lab. Radio Sta.,1960,"Sugar Grove, West Virginia, USA",38.511009,-79.32196,574
Naylor Observatory,1960,"Harrisburg, Pennsylvania, USA",40.273191,-76.886701,107
Northern Arizona University Observatory,1960,"Flagstaff, AZ, USA",35.198284,-111.651302,2104
North Georgia Astronomical Observatory,1960,"Dahlonega, Georgia, USA",34.526147,-83.984395,451
Oil Region Astronomical Observatory,1960,"Venango County, Pennsylvania, USA",41.389661,-79.829674,424
Puckett Observatory,1960,"Ellijay, Georgia, USA",34.694808,-84.48215,393
Rainwater Observatory,1960,"French Camp, Mississippi, USA",33.293181,-89.399516,125
RIT Observatory,1960,"Rochester, New York, USA",43.156578,-77.608847,159
Ritter Observatory,1960,"Toledo, Ohio, USA",41.652805,-83.537867,179
Robert A. Schommer Observatory,1960,"Rutgers University, New Brunswick, New Jersey, USA",40.500819,-74.447399,15
Robert Brownlee Observatory,1960,"Lake Arrowhead, California, USA",34.24834,-117.189208,1582
Robinson Observatory,1960,"Orlando, Florida, USA",28.538336,-81.379236,31
Rolnick Observatory,1960,"Westport, Connecticut, USA",41.141472,-73.357905,5
Rosemary Hill Observatory,1960,"Bronson, Florida, USA",29.447745,-82.642334,19
Sola Fide Observatory,1960,"Austin, Minnesota, USA",43.66663,-92.974637,367
Sproul Observatory,1960,"Swarthmore, Pennsylvania, USA",39.902057,-75.349912,40
Stokesville Observatory,1960,"Virginia, USA",37.431573,-78.656894,214
Submillimeter Array,1960,"Mauna Kea, Hawaii, USA",19.820611,-155.468094,4197
